Pavarde            Vardas       Galutinis
Vasiliauskas       449Vardenis 5.96
Urbonas            450Vardenis 8.00
Kavaliauskas       451Vardenis 5.28
Pranevicius        452Vardenis 6.28
Vasiliauskas       453Vardenis 5.36
Pranevicius        455Vardenis 6.48
Ramanauskas        458Vardenis 7.88
Kazlauskas         459Vardenis 7.72
Petrauskas         461Vardenis 8.04
Ramanauskas        462Vardenis 6.40
Petrauskas         463Vardenis 9.44
Vasiliauskas       465Vardenis 6.08
Navickas           466Vardenis 6.56
Pranevicius        471Vardenis 5.00
Navickas           474Vardenis 8.56
Petrauskas         475Vardenis 6.28
Navickas           476Vardenis 5.24
Jankauskas         478Vardenis 6.48
Urbonas            479Vardenis 6.84
Pranevicius        480Vardenis 5.80
Vasiliauskas       481Vardenis 7.40
Ramanauskas        482Vardenis 8.32
Jankauskas         485Vardenis 7.72
Kavaliauskas       487Vardenis 8.72
Petrauskas         488Vardenis 6.04
Urbonas            490Vardenis 5.36
Petrauskas         491Vardenis 5.32
Navickas           494Vardenis 7.56
Vasiliauskas       496Vardenis 8.56
Butkus             497Vardenis 6.72
Urbonas            498Vardenis 5.20
Kazlauskas         499Vardenis 6.76
Ramanauskas        501Vardenis 7.00
Pranevicius        503Vardenis 7.72
Ramanauskas        508Vardenis 5.60
Navickas           512Vardenis 7.96
Jankauskas         514Vardenis 8.72
Vasiliauskas       515Vardenis 6.08
Kavaliauskas       517Vardenis 7.32
Urbonas            518Vardenis 6.96
Pranevicius        519Vardenis 8.72
Vasiliauskas       520Vardenis 5.32
Ramanauskas        521Vardenis 7.04
Petrauskas         522Vardenis 6.72
Kazlauskas         524Vardenis 5.80
Pranevicius        526Vardenis 5.32
Urbonas            527Vardenis 7.40
Vasiliauskas       529Vardenis 5.60
Vasiliauskas       530Vardenis 6.56
Urbonas            531Vardenis 7.24
Petrauskas         532Vardenis 6.20
Ramanauskas        533Vardenis 8.44
Pranevicius        534Vardenis 5.12
Petrauskas         535Vardenis 5.92
Kavaliauskas       536Vardenis 7.24
Pranevicius        538Vardenis 5.20
Navickas           540Vardenis 6.92
Ramanauskas        541Vardenis 7.68
Navickas           542Vardenis 9.20
Navickas           543Vardenis 7.76
Jankauskas         544Vardenis 7.80
Vasiliauskas       548Vardenis 8.56
Petrauskas         550Vardenis 6.48
Kazlauskas         552Vardenis 6.72
Petrauskas         553Vardenis 9.20
Petrauskas         555Vardenis 6.72
Pranevicius        556Vardenis 7.76
Jankauskas         557Vardenis 6.44
Urbonas            560Vardenis 8.04
Jankauskas         561Vardenis 6.52
Navickas           565Vardenis 6.68
Jankauskas         566Vardenis 6.60
Navickas           568Vardenis 7.32
Vasiliauskas       571Vardenis 7.96
Vasiliauskas       572Vardenis 7.28
Ramanauskas        573Vardenis 6.36
Pranevicius        574Vardenis 7.64
Jankauskas         575Vardenis 8.88
Kavaliauskas       577Vardenis 7.40
Navickas           578Vardenis 8.32
Navickas           579Vardenis 5.20
Petrauskas         581Vardenis 5.16
Jankauskas         583Vardenis 5.16
Jankauskas         584Vardenis 8.24
Petrauskas         586Vardenis 5.16
Pranevicius        588Vardenis 5.40
Kazlauskas         589Vardenis 7.00
Kazlauskas         590Vardenis 6.76
Butkus             591Vardenis 8.08
Butkus             592Vardenis 6.96
Pranevicius        594Vardenis 6.28
Ramanauskas        595Vardenis 6.44
Jankauskas         597Vardenis 8.80
Pranevicius        598Vardenis 7.20
Vasiliauskas       599Vardenis 6.52
Jankauskas         600Vardenis 8.72
Kavaliauskas       601Vardenis 6.00
Petrauskas         602Vardenis 7.68
Urbonas            603Vardenis 6.44
Urbonas            604Vardenis 8.00
Vasiliauskas       605Vardenis 8.24
Petrauskas         608Vardenis 6.24
Pranevicius        610Vardenis 5.96
Kavaliauskas       611Vardenis 7.04
Kazlauskas         612Vardenis 5.16
Petrauskas         613Vardenis 6.72
Jankauskas         614Vardenis 7.88
Navickas           616Vardenis 5.36
Kazlauskas         619Vardenis 7.36
Ramanauskas        621Vardenis 7.08
Jankauskas         624Vardenis 8.52
Kavaliauskas       628Vardenis 7.72
Kazlauskas         629Vardenis 7.44
Navickas           631Vardenis 6.08
Butkus             633Vardenis 8.28
Navickas           634Vardenis 6.32
Jankauskas         635Vardenis 5.28
Vasiliauskas       636Vardenis 5.24
Pranevicius        637Vardenis 8.08
Ramanauskas        638Vardenis 7.08
Kavaliauskas       639Vardenis 5.68
Urbonas            641Vardenis 6.20
Butkus             642Vardenis 5.36
Kazlauskas         643Vardenis 7.04
Kazlauskas         644Vardenis 7.48
Jankauskas         646Vardenis 7.12
Navickas           648Vardenis 5.20
Vasiliauskas       649Vardenis 8.00
Petrauskas         652Vardenis 7.36
Petrauskas         654Vardenis 9.12
Pranevicius        655Vardenis 6.44
Navickas           656Vardenis 6.80
Vasiliauskas       657Vardenis 5.32
Navickas           659Vardenis 6.76
Ramanauskas        660Vardenis 7.68
Vasiliauskas       662Vardenis 6.88
Navickas           664Vardenis 7.52
Petrauskas         665Vardenis 6.32
Petrauskas         666Vardenis 7.52
Navickas           667Vardenis 7.44
Ramanauskas        670Vardenis 5.24
Vasiliauskas       671Vardenis 7.04
Pranevicius        672Vardenis 6.92
Petrauskas         673Vardenis 5.96
Ramanauskas        674Vardenis 6.24
Navickas           677Vardenis 5.16
Kavaliauskas       678Vardenis 5.44
Jankauskas         680Vardenis 8.08
Pranevicius        681Vardenis 5.64
Kavaliauskas       685Vardenis 6.48
Pranevicius        688Vardenis 6.92
Kazlauskas         689Vardenis 7.00
Butkus             690Vardenis 5.36
Kavaliauskas       693Vardenis 5.28
Kavaliauskas       698Vardenis 7.64
Vasiliauskas       701Vardenis 5.40
Urbonas            702Vardenis 5.36
Kavaliauskas       707Vardenis 7.72
Ramanauskas        710Vardenis 5.40
Ramanauskas        713Vardenis 5.36
Kavaliauskas       714Vardenis 5.08
Urbonas            717Vardenis 8.04
Navickas           718Vardenis 6.52
Kazlauskas         721Vardenis 5.24
Urbonas            724Vardenis 5.96
Navickas           725Vardenis 7.44
Urbonas            727Vardenis 8.36
Vasiliauskas       728Vardenis 7.28
Petrauskas         730Vardenis 7.56
Petrauskas         731Vardenis 7.68
Kavaliauskas       732Vardenis 7.44
Jankauskas         735Vardenis 6.28
Jankauskas         736Vardenis 6.20
Navickas           741Vardenis 5.44
Petrauskas         742Vardenis 7.04
Petrauskas         749Vardenis 7.96
Petrauskas         750Vardenis 7.36
Kavaliauskas       751Vardenis 7.08
Petrauskas         755Vardenis 7.28
Ramanauskas        758Vardenis 6.36
Pranevicius        760Vardenis 8.36
Kazlauskas         761Vardenis 8.48
Kazlauskas         762Vardenis 6.68
Butkus             764Vardenis 6.44
Petrauskas         765Vardenis 7.48
Jankauskas         768Vardenis 5.92
Pranevicius        769Vardenis 7.16
Pranevicius        772Vardenis 8.00
Navickas           774Vardenis 5.00
Urbonas            775Vardenis 5.92
Ramanauskas        776Vardenis 6.96
Kazlauskas         777Vardenis 5.72
Urbonas            778Vardenis 6.84
Urbonas            779Vardenis 7.68
Butkus             780Vardenis 5.44
Ramanauskas        781Vardenis 7.48
Urbonas            782Vardenis 5.00
Navickas           783Vardenis 5.92
Pranevicius        784Vardenis 7.28
Navickas           785Vardenis 8.00
Vasiliauskas       786Vardenis 5.36
Jankauskas         787Vardenis 9.12
Petrauskas         788Vardenis 5.12
Kavaliauskas       789Vardenis 5.68
Vasiliauskas       790Vardenis 8.28
Navickas           792Vardenis 5.76
Butkus             794Vardenis 7.28
Kazlauskas         797Vardenis 5.88
Kavaliauskas       798Vardenis 5.80
Vasiliauskas       801Vardenis 6.96
Urbonas            807Vardenis 5.64
Petrauskas         813Vardenis 6.48
Navickas           815Vardenis 5.64
Kazlauskas         816Vardenis 5.64
Navickas           817Vardenis 8.24
Navickas           819Vardenis 7.40
Kazlauskas         820Vardenis 8.64
Jankauskas         822Vardenis 5.80
Jankauskas         826Vardenis 7.24
Kazlauskas         827Vardenis 6.20
Butkus             829Vardenis 8.60
Urbonas            834Vardenis 6.48
Pranevicius        836Vardenis 7.40
Navickas           837Vardenis 5.88
Pranevicius        843Vardenis 8.24
Butkus             844Vardenis 7.64
Butkus             846Vardenis 7.20
Kazlauskas         847Vardenis 7.68
Ramanauskas        848Vardenis 5.68
Pranevicius        852Vardenis 6.84
Petrauskas         853Vardenis 6.24
Petrauskas         854Vardenis 6.44
Petrauskas         855Vardenis 8.24
Urbonas            856Vardenis 6.36
Petrauskas         858Vardenis 7.32
Kazlauskas         860Vardenis 6.16
Vasiliauskas       864Vardenis 7.48
Vasiliauskas       865Vardenis 6.36
Ramanauskas        866Vardenis 7.56
Pranevicius        868Vardenis 7.28
Kazlauskas         869Vardenis 5.08
Kazlauskas         870Vardenis 8.72
Kazlauskas         871Vardenis 5.08
Petrauskas         873Vardenis 7.00
Petrauskas         874Vardenis 7.04
Navickas           875Vardenis 5.76
Jankauskas         879Vardenis 7.68
Butkus             880Vardenis 5.16
Butkus             881Vardenis 6.20
Pranevicius        883Vardenis 5.96
Navickas           885Vardenis 6.40
Navickas           886Vardenis 5.60
Kavaliauskas       887Vardenis 5.64
Ramanauskas        889Vardenis 7.60
Butkus             890Vardenis 7.80
Kazlauskas         894Vardenis 5.28
Navickas           895Vardenis 5.88
Vasiliauskas       898Vardenis 6.76
Kavaliauskas       900Vardenis 7.80
Jankauskas         902Vardenis 6.24
Pranevicius        903Vardenis 6.60
Petrauskas         905Vardenis 8.84
Navickas           906Vardenis 8.12
Vasiliauskas       907Vardenis 7.28
Vasiliauskas       908Vardenis 6.88
Pranevicius        909Vardenis 7.84
Urbonas            910Vardenis 6.08
Kazlauskas         912Vardenis 7.92
Petrauskas         913Vardenis 6.28
Pranevicius        915Vardenis 5.28
Ramanauskas        916Vardenis 8.72
Ramanauskas        917Vardenis 6.12
Navickas           918Vardenis 5.28
Ramanauskas        920Vardenis 7.56
Kavaliauskas       922Vardenis 7.48
Jankauskas         924Vardenis 8.04
Jankauskas         925Vardenis 5.12
Kavaliauskas       927Vardenis 5.52
Kavaliauskas       928Vardenis 8.40
Kavaliauskas       929Vardenis 7.60
Pranevicius        930Vardenis 5.52
Navickas           934Vardenis 6.08
Navickas           939Vardenis 7.08
Vasiliauskas       941Vardenis 6.32
Butkus             942Vardenis 8.20
Urbonas            943Vardenis 7.40
Navickas           944Vardenis 7.88
Navickas           947Vardenis 7.20
Pranevicius        949Vardenis 5.56
Jankauskas         950Vardenis 5.72
Urbonas            951Vardenis 7.40
Navickas           952Vardenis 5.32
Pranevicius        954Vardenis 7.16
Pranevicius        955Vardenis 8.16
Vasiliauskas       956Vardenis 5.96
Petrauskas         957Vardenis 5.84
Jankauskas         958Vardenis 5.52
Urbonas            960Vardenis 6.72
Urbonas            961Vardenis 6.24
Kazlauskas         962Vardenis 7.84
Petrauskas         965Vardenis 6.40
Urbonas            967Vardenis 5.88
Jankauskas         968Vardenis 5.12
Vasiliauskas       969Vardenis 5.88
Kazlauskas         970Vardenis 5.84
Kazlauskas         972Vardenis 7.24
Kavaliauskas       973Vardenis 6.20
Pranevicius        975Vardenis 5.64
Ramanauskas        976Vardenis 5.24
Vasiliauskas       977Vardenis 5.44
Navickas           978Vardenis 5.12
Kazlauskas         979Vardenis 6.48
Navickas           980Vardenis 7.96
Kavaliauskas       982Vardenis 6.12
Ramanauskas        988Vardenis 6.40
Navickas           989Vardenis 5.84
Vasiliauskas       990Vardenis 8.16
Kazlauskas         991Vardenis 6.92
Urbonas            993Vardenis 7.60
Petrauskas         995Vardenis 7.32
Navickas           996Vardenis 7.92
Navickas           997Vardenis 7.12
Butkus             998Vardenis 6.16
Kavaliauskas       1001Vardenis6.68
Pranevicius        1002Vardenis7.76
Kazlauskas         1004Vardenis7.88
Ramanauskas        1005Vardenis7.08
Ramanauskas        1006Vardenis8.32
Petrauskas         1007Vardenis5.28
Ramanauskas        1008Vardenis5.48
Urbonas            1009Vardenis6.88
Urbonas            1011Vardenis6.16
Kazlauskas         1012Vardenis5.72
Ramanauskas        1013Vardenis6.72
Kavaliauskas       1014Vardenis6.28
Jankauskas         1017Vardenis6.32
Kazlauskas         1019Vardenis7.28
Navickas           1020Vardenis7.92
Kazlauskas         1021Vardenis5.04
Jankauskas         1022Vardenis7.20
Petrauskas         1023Vardenis8.64
Ramanauskas        1024Vardenis5.08
Urbonas            1028Vardenis8.40
Jankauskas         1029Vardenis7.60
Pranevicius        1030Vardenis5.76
Navickas           1031Vardenis6.72
Ramanauskas        1035Vardenis6.32
Jankauskas         1038Vardenis5.60
Kazlauskas         1039Vardenis6.80
Kavaliauskas       1040Vardenis7.04
Navickas           1041Vardenis5.72
Jankauskas         1042Vardenis8.16
Jankauskas         1043Vardenis5.12
Butkus             1044Vardenis5.80
Vasiliauskas       1048Vardenis8.24
Ramanauskas        1049Vardenis6.36
Jankauskas         1053Vardenis5.60
Jankauskas         1054Vardenis6.40
Pranevicius        1055Vardenis8.80
Urbonas            1058Vardenis5.40
Ramanauskas        1061Vardenis5.92
Kazlauskas         1063Vardenis7.72
Kavaliauskas       1068Vardenis6.68
Navickas           1069Vardenis6.36
Urbonas            1070Vardenis8.16
Navickas           1071Vardenis5.00
Navickas           1072Vardenis5.84
Navickas           1073Vardenis5.84
Butkus             1074Vardenis6.84
Kavaliauskas       1076Vardenis5.04
Pranevicius        1077Vardenis7.36
Butkus             1078Vardenis6.72
Vasiliauskas       1079Vardenis5.16
Pranevicius        1081Vardenis8.00
Kazlauskas         1087Vardenis6.56
Urbonas            1088Vardenis6.52
Butkus             1093Vardenis7.60
Petrauskas         1094Vardenis8.20
Urbonas            1098Vardenis6.44
Petrauskas         1099Vardenis5.28
Kavaliauskas       1100Vardenis6.20
Kazlauskas         1101Vardenis9.44
Urbonas            1104Vardenis6.28
Pranevicius        1105Vardenis6.24
Pranevicius        1107Vardenis7.88
Ramanauskas        1110Vardenis7.68
Vasiliauskas       1111Vardenis7.48
Kazlauskas         1112Vardenis8.28
Navickas           1114Vardenis7.96
Ramanauskas        1115Vardenis7.24
Kazlauskas         1116Vardenis5.04
Butkus             1117Vardenis5.40
Pranevicius        1118Vardenis8.32
Pranevicius        1119Vardenis6.04
Vasiliauskas       1124Vardenis6.64
Pranevicius        1125Vardenis8.16
Urbonas            1126Vardenis7.32
Pranevicius        1127Vardenis6.64
Jankauskas         1129Vardenis6.16
Petrauskas         1130Vardenis6.96
Vasiliauskas       1131Vardenis7.16
Butkus             1132Vardenis7.68
Vasiliauskas       1133Vardenis5.36
Petrauskas         1135Vardenis7.12
Pranevicius        1137Vardenis6.68
Butkus             1138Vardenis7.00
Kavaliauskas       1139Vardenis7.52
Ramanauskas        1141Vardenis7.20
Pranevicius        1142Vardenis5.52
Butkus             1143Vardenis8.12
Kazlauskas         1144Vardenis8.48
Kazlauskas         1145Vardenis8.28
Vasiliauskas       1148Vardenis7.84
Urbonas            1149Vardenis8.28
Kazlauskas         1151Vardenis5.60
Jankauskas         1155Vardenis6.00
Jankauskas         1157Vardenis6.56
Ramanauskas        1158Vardenis6.28
Pranevicius        1159Vardenis7.52
Jankauskas         1160Vardenis6.56
Kazlauskas         1163Vardenis5.08
Vasiliauskas       1167Vardenis8.04
Navickas           1168Vardenis5.36
Pranevicius        1170Vardenis5.72
Vasiliauskas       1172Vardenis6.20
Vasiliauskas       1173Vardenis8.64
Jankauskas         1174Vardenis7.68
Pranevicius        1180Vardenis6.76
Kazlauskas         1182Vardenis5.12
Jankauskas         1183Vardenis7.36
Navickas           1186Vardenis6.36
Navickas           1187Vardenis7.64
Navickas           1188Vardenis8.80
Kavaliauskas       1191Vardenis7.32
Petrauskas         1192Vardenis5.28
Petrauskas         1195Vardenis5.68
Vasiliauskas       1199Vardenis6.40
Pranevicius        1200Vardenis7.56
Navickas           1201Vardenis6.28
Urbonas            1205Vardenis7.36
Kavaliauskas       1207Vardenis8.00
Ramanauskas        1208Vardenis5.32
Petrauskas         1209Vardenis5.84
Navickas           1211Vardenis6.72
Kazlauskas         1213Vardenis5.08
Vasiliauskas       1214Vardenis8.80
Petrauskas         1217Vardenis5.28
Kavaliauskas       1218Vardenis6.36
Urbonas            1219Vardenis7.28
Jankauskas         1220Vardenis7.00
Jankauskas         1221Vardenis6.28
Ramanauskas        1222Vardenis8.00
Jankauskas         1224Vardenis8.48
Petrauskas         1225Vardenis5.00
Kazlauskas         1226Vardenis6.28
Pranevicius        1227Vardenis7.52
Jankauskas         1231Vardenis6.00
Petrauskas         1235Vardenis7.12
Vasiliauskas       1236Vardenis6.52
Butkus             1238Vardenis5.04
Butkus             1241Vardenis6.28
Pranevicius        1243Vardenis5.32
Pranevicius        1244Vardenis5.28
Pranevicius        1246Vardenis7.60
Jankauskas         1248Vardenis7.00
Navickas           1249Vardenis8.60
Kazlauskas         1252Vardenis6.72
Urbonas            1254Vardenis5.96
Ramanauskas        1255Vardenis8.16
Pranevicius        1256Vardenis5.72
Kavaliauskas       1260Vardenis6.76
Urbonas            1262Vardenis6.48
Navickas           1264Vardenis8.32
Kavaliauskas       1266Vardenis7.28
Jankauskas         1267Vardenis7.68
Kazlauskas         1268Vardenis7.84
Jankauskas         1269Vardenis7.12
Jankauskas         1271Vardenis6.52
Kavaliauskas       1272Vardenis5.76
Jankauskas         1273Vardenis5.44
Vasiliauskas       1274Vardenis5.24
Vasiliauskas       1275Vardenis6.40
Ramanauskas        1276Vardenis5.32
Kavaliauskas       1277Vardenis6.16
Pranevicius        1278Vardenis7.84
Vasiliauskas       1279Vardenis5.76
Urbonas            1280Vardenis6.40
Ramanauskas        1281Vardenis5.40
Ramanauskas        1282Vardenis8.12
Petrauskas         1286Vardenis5.52
Kazlauskas         1287Vardenis6.48
Ramanauskas        1290Vardenis7.64
Vasiliauskas       1291Vardenis6.16
Navickas           1292Vardenis5.04
Navickas           1294Vardenis8.16
Petrauskas         1296Vardenis5.00
Navickas           1298Vardenis7.92
Jankauskas         1299Vardenis7.12
Navickas           1300Vardenis5.76
Navickas           1303Vardenis6.64
Kazlauskas         1305Vardenis5.32
Ramanauskas        1306Vardenis8.08
Kazlauskas         1308Vardenis5.32
Kazlauskas         1309Vardenis5.92
Pranevicius        1312Vardenis8.08
Ramanauskas        1313Vardenis5.72
