Pavarde            Vardas       Galutinis
Navickas           359Vardenis 4.40
Petrauskas         361Vardenis 4.52
Jankauskas         363Vardenis 4.48
Urbonas            368Vardenis 4.60
Vasiliauskas       370Vardenis 2.88
Pranevicius        372Vardenis 3.04
Petrauskas         374Vardenis 4.04
Kavaliauskas       376Vardenis 4.52
Petrauskas         378Vardenis 3.08
Butkus             380Vardenis 3.16
Butkus             381Vardenis 4.80
Jankauskas         382Vardenis 3.60
Petrauskas         383Vardenis 3.32
Navickas           385Vardenis 2.24
Urbonas            386Vardenis 3.56
Kavaliauskas       390Vardenis 4.72
Jankauskas         395Vardenis 2.72
Navickas           396Vardenis 2.60
Urbonas            400Vardenis 4.64
Navickas           403Vardenis 4.40
Ramanauskas        404Vardenis 2.44
Kazlauskas         410Vardenis 3.96
Urbonas            412Vardenis 4.76
Kavaliauskas       414Vardenis 4.28
Petrauskas         415Vardenis 3.40
Butkus             419Vardenis 4.32
Pranevicius        420Vardenis 2.96
Butkus             422Vardenis 3.04
Kazlauskas         425Vardenis 4.04
Vasiliauskas       428Vardenis 4.96
Jankauskas         433Vardenis 3.88
Kazlauskas         437Vardenis 3.88
Pranevicius        438Vardenis 3.84
Butkus             439Vardenis 4.16
Pranevicius        443Vardenis 3.00
Urbonas            447Vardenis 3.16
Jankauskas         448Vardenis 4.80
Urbonas            449Vardenis 4.40
Pranevicius        450Vardenis 4.32
Petrauskas         451Vardenis 4.60
Petrauskas         460Vardenis 2.52
Kavaliauskas       461Vardenis 4.96
Kavaliauskas       463Vardenis 3.28
Urbonas            465Vardenis 3.72
Jankauskas         467Vardenis 2.64
Urbonas            469Vardenis 3.08
Pranevicius        470Vardenis 1.88
Navickas           476Vardenis 4.40
Urbonas            479Vardenis 4.76
Butkus             480Vardenis 4.64
Urbonas            481Vardenis 3.68
Pranevicius        484Vardenis 2.76
Vasiliauskas       487Vardenis 2.28
Butkus             488Vardenis 3.00
Kazlauskas         490Vardenis 3.64
Pranevicius        491Vardenis 3.00
Petrauskas         498Vardenis 4.44
Vasiliauskas       500Vardenis 4.00
Vasiliauskas       501Vardenis 3.48
Butkus             504Vardenis 2.80
Butkus             508Vardenis 3.16
Navickas           511Vardenis 3.04
Kazlauskas         513Vardenis 2.60
Kazlauskas         514Vardenis 4.92
Urbonas            516Vardenis 3.72
Kazlauskas         517Vardenis 4.56
Jankauskas         524Vardenis 3.60
Vasiliauskas       526Vardenis 4.44
Butkus             527Vardenis 4.60
Petrauskas         531Vardenis 3.28
Ramanauskas        532Vardenis 2.04
Kavaliauskas       533Vardenis 3.32
Ramanauskas        534Vardenis 4.84
Urbonas            535Vardenis 4.40
Ramanauskas        542Vardenis 3.84
Butkus             544Vardenis 4.36
Petrauskas         546Vardenis 4.12
Pranevicius        549Vardenis 4.68
Kavaliauskas       552Vardenis 3.24
Urbonas            553Vardenis 3.12
Petrauskas         561Vardenis 2.88
Urbonas            564Vardenis 3.40
Vasiliauskas       568Vardenis 3.88
Butkus             572Vardenis 4.00
Navickas           577Vardenis 4.72
Petrauskas         578Vardenis 2.68
Kazlauskas         580Vardenis 4.44
Navickas           581Vardenis 4.84
Kazlauskas         588Vardenis 3.28
Kavaliauskas       589Vardenis 4.28
Navickas           593Vardenis 3.40
Kazlauskas         596Vardenis 4.52
Pranevicius        598Vardenis 2.80
Pranevicius        599Vardenis 4.40
Petrauskas         601Vardenis 1.64
Vasiliauskas       602Vardenis 4.72
Butkus             603Vardenis 3.76
Urbonas            608Vardenis 2.96
Urbonas            609Vardenis 2.60
Vasiliauskas       610Vardenis 3.84
Petrauskas         611Vardenis 3.28
Navickas           617Vardenis 1.64
Ramanauskas        618Vardenis 4.04
Butkus             621Vardenis 3.12
Kazlauskas         622Vardenis 3.28
Kavaliauskas       624Vardenis 3.40
Urbonas            625Vardenis 3.76
Vasiliauskas       629Vardenis 2.68
Kazlauskas         633Vardenis 2.04
Urbonas            634Vardenis 3.96
Vasiliauskas       636Vardenis 3.28
Urbonas            638Vardenis 3.88
Butkus             640Vardenis 3.12
Petrauskas         642Vardenis 4.00
Butkus             650Vardenis 4.64
Kazlauskas         652Vardenis 2.84
Navickas           654Vardenis 4.96
Kavaliauskas       655Vardenis 3.00
Kazlauskas         659Vardenis 2.96
Vasiliauskas       660Vardenis 3.80
Urbonas            663Vardenis 4.20
Pranevicius        664Vardenis 3.52
Navickas           672Vardenis 3.08
Kazlauskas         673Vardenis 3.16
Pranevicius        676Vardenis 2.12
Ramanauskas        677Vardenis 3.56
Kavaliauskas       681Vardenis 2.96
Navickas           686Vardenis 2.76
Kazlauskas         688Vardenis 3.08
Vasiliauskas       689Vardenis 3.56
Kazlauskas         692Vardenis 4.44
Urbonas            694Vardenis 3.04
Jankauskas         695Vardenis 3.80
Navickas           698Vardenis 3.36
Petrauskas         702Vardenis 3.00
Petrauskas         703Vardenis 3.92
Kavaliauskas       704Vardenis 3.08
Ramanauskas        706Vardenis 3.44
Petrauskas         707Vardenis 2.72
Navickas           710Vardenis 4.08
Pranevicius        712Vardenis 4.72
Butkus             713Vardenis 3.36
Jankauskas         716Vardenis 4.08
Kazlauskas         718Vardenis 2.36
Navickas           721Vardenis 4.64
Pranevicius        722Vardenis 4.60
Urbonas            724Vardenis 3.68
Petrauskas         729Vardenis 4.68
Kavaliauskas       730Vardenis 4.76
Vasiliauskas       732Vardenis 4.00
Jankauskas         741Vardenis 3.32
Kazlauskas         742Vardenis 4.12
Urbonas            745Vardenis 4.92
Kavaliauskas       746Vardenis 2.36
Butkus             748Vardenis 3.48
Butkus             749Vardenis 4.24
Vasiliauskas       751Vardenis 4.64
Jankauskas         752Vardenis 3.24
Butkus             754Vardenis 3.64
Kazlauskas         755Vardenis 4.36
Ramanauskas        756Vardenis 4.84
Butkus             757Vardenis 3.60
Navickas           758Vardenis 4.68
Vasiliauskas       759Vardenis 4.64
Pranevicius        760Vardenis 3.20
Ramanauskas        764Vardenis 3.36
Vasiliauskas       765Vardenis 4.16
Pranevicius        770Vardenis 4.80
Pranevicius        772Vardenis 4.12
Petrauskas         776Vardenis 3.72
Pranevicius        777Vardenis 3.20
Butkus             781Vardenis 3.68
Kavaliauskas       789Vardenis 3.60
Ramanauskas        790Vardenis 4.60
Urbonas            791Vardenis 4.28
Pranevicius        792Vardenis 3.60
Vasiliauskas       798Vardenis 4.48
Kavaliauskas       800Vardenis 2.44
Petrauskas         802Vardenis 4.84
Petrauskas         803Vardenis 4.00
Navickas           804Vardenis 4.16
Butkus             805Vardenis 4.44
Kazlauskas         806Vardenis 4.72
Jankauskas         807Vardenis 3.12
Pranevicius        809Vardenis 4.44
Butkus             811Vardenis 3.52
Butkus             812Vardenis 3.56
Kazlauskas         813Vardenis 4.44
Butkus             816Vardenis 3.64
Navickas           820Vardenis 3.88
Vasiliauskas       821Vardenis 3.36
Pranevicius        823Vardenis 4.48
Pranevicius        824Vardenis 4.24
Petrauskas         825Vardenis 3.28
Urbonas            827Vardenis 4.12
Kazlauskas         830Vardenis 3.72
Petrauskas         834Vardenis 3.64
Jankauskas         835Vardenis 4.40
Petrauskas         840Vardenis 2.60
Urbonas            842Vardenis 4.08
Butkus             847Vardenis 2.68
Petrauskas         848Vardenis 3.48
Urbonas            849Vardenis 4.84
Urbonas            854Vardenis 4.20
Jankauskas         855Vardenis 4.16
Ramanauskas        857Vardenis 4.28
Pranevicius        859Vardenis 3.68
Vasiliauskas       860Vardenis 4.80
Ramanauskas        861Vardenis 4.08
Navickas           862Vardenis 2.88
Butkus             863Vardenis 2.04
Urbonas            864Vardenis 2.84
Kavaliauskas       865Vardenis 3.76
Vasiliauskas       867Vardenis 2.64
Pranevicius        869Vardenis 4.04
Navickas           873Vardenis 3.88
Urbonas            874Vardenis 3.80
Jankauskas         877Vardenis 2.84
Ramanauskas        879Vardenis 4.20
Kazlauskas         880Vardenis 3.84
Kazlauskas         881Vardenis 2.20
Vasiliauskas       884Vardenis 3.64
Butkus             890Vardenis 2.44
Petrauskas         894Vardenis 3.56
Kazlauskas         899Vardenis 2.72
Urbonas            905Vardenis 3.08
Navickas           906Vardenis 4.92
Urbonas            908Vardenis 2.36
Vasiliauskas       912Vardenis 4.40
Pranevicius        913Vardenis 4.48
Pranevicius        914Vardenis 4.12
Kazlauskas         917Vardenis 4.76
Navickas           919Vardenis 2.68
Kazlauskas         920Vardenis 2.72
Ramanauskas        921Vardenis 3.20
Ramanauskas        922Vardenis 4.24
Pranevicius        923Vardenis 4.60
Navickas           925Vardenis 3.60
Butkus             932Vardenis 4.60
Kazlauskas         936Vardenis 3.16
Pranevicius        941Vardenis 3.24
Pranevicius        943Vardenis 3.96
Jankauskas         949Vardenis 2.92
Pranevicius        951Vardenis 4.12
Vasiliauskas       952Vardenis 4.16
Urbonas            955Vardenis 2.72
Kazlauskas         959Vardenis 3.24
Petrauskas         960Vardenis 3.24
Butkus             966Vardenis 2.76
Vasiliauskas       967Vardenis 3.00
Kazlauskas         970Vardenis 4.32
Kazlauskas         971Vardenis 3.80
Jankauskas         972Vardenis 3.72
Navickas           973Vardenis 3.84
Ramanauskas        974Vardenis 4.52
Petrauskas         975Vardenis 2.84
Pranevicius        980Vardenis 4.32
Kazlauskas         983Vardenis 4.36
Jankauskas         984Vardenis 3.32
Ramanauskas        986Vardenis 2.20
Navickas           992Vardenis 3.28
Vasiliauskas       993Vardenis 3.96
Ramanauskas        994Vardenis 4.64
Butkus             995Vardenis 3.44
